No.;Kode;Nama Emiten;Keterangan
508;SIPD;Sreeya Sewu Indonesia Tbk.;
509;SKBM;Sekar Bumi Tbk.;
510;SKLT;Sekar Laut Tbk.;
511;SKRN;Superkrane Mitra Utama Tbk.;
512;SLIS;Gaya Abadi Sempurna Tbk.;
513;SMAR;Smart Tbk.;
514;SMBR;Semen Baturaja Tbk.;
515;SMCB;Solusi Bangun Indonesia Tbk.;
516;SMDM;Suryamas Dutamakmur Tbk.;
517;SMDR;Samudera Indonesia  Tbk.;
518;SMGA;Sumber Mineral Global Abadi Tbk.;
519;SMGR;Semen Indonesia (Persero) Tbk.;
520;SMIL;Sarana Mitra Luas Tbk.;
521;SMKL;Satyamitra Kemas Lestari Tbk.;
522;SMLE;Sinergi Multi Lestarindo Tbk.;
523;SMMT;Golden Eagle Energy Tbk.;
524;SMRA;Summarecon Agung Tbk.;
525;SMSM;Selamat Sempurna Tbk.;
526;SNLK;Sunter Lakeside Hotel Tbk.;
527;SOCI;Soechi Lines Tbk.;
528;SOHO;Soho Global Health Tbk.;
529;SOLA;Xolare RCR Energy Tbk.;
530;SONA;Sona Topas Tourism Industry Tbk.;
531;SOSS;Shield On Service Tbk.;
532;SOTS;Satria Mega Kencana Tbk.;
533;SPMA;Suparma Tbk.;
534;SPTO;Surya Pertiwi Tbk.;
535;SRAJ;Sejahteraraya Anugrahjaya Tbk.;
536;SRTG;Saratoga Investama Sedaya Tbk.;
537;SSIA;Surya Semesta Internusa Tbk.;
538;SSTM;Sunson Textile Manufacture Tbk;
539;STAA;Sumber Tani Agung Resources Tbk.;
540;STTP;Siantar Top Tbk.;
541;SULI;SLJ Global Tbk.;
542;SUNI;Sunindo Pratama Tbk.;
543;SUPR;Solusi Tunas Pratama Tbk.;
544;SURI;Maja Agung Latexindo Tbk.;
545;SWID;Saraswanti Indoland Development Tbk.;
546;TALF;Tunas Alfin Tbk.;
547;TAMA;Lancartama Sejati Tbk.;
548;TAMU;Pelayaran Tamarin Samudra Tbk.;
549;TAPG;Triputra Agro Persada Tbk.;
550;TARA;Agung Semesta Sejahtera Tbk.;
551;TAXI;Express Transindo Utama Tbk.;
552;TBMS;Tembaga Mulia Semanan Tbk.;
553;TCID;Mandom Indonesia Tbk.;
554;TCPI;Transcoal Pacific Tbk.;
555;TEBE;Dana Brata Luhur Tbk.;
556;TFAS;Telefast Indonesia Tbk.;
557;TFCO;Tifico Fiber Indonesia Tbk.;
558;TGKA;Tigaraksa Satria Tbk.;
559;TGUK;Platinum Wahab Nusantara Tbk.;
560;TINS;Timah Tbk.;
561;TIRA;Tira Austenite Tbk;
562;TIRT;Tirta Mahakam Resources Tbk;
